'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'51135_at'	'IRAK4'	4	0	-2	-1	-2	-6	0.0287429541
'79415_at'	'C17orf62'	5	5	1	2	8	3	0.028889414
'7862_at'	'BRPF1'	8	12	9	8	0	8	0.0289113357
'51214_at'	'IGF2AS'	13	6	0	-6	0	9	0.0291471055
'4436_at'	'MSH2'	4	8	2	-1	9	3	0.0292035527
'2357_at'	'FPR1'	-2	0	2	1	-2	2	0.0292553729
'6356_at'	'CCL11'	-6	6	13	15	0	5	0.0292795417
'9863_at'	'MAGI2'	14	17	-4	15	14	14	0.0292917553
'22828_at'	'RBM16'	6	14	7	7	12	9	0.0293754374
'5725_at'	'PTBP1'	2	0	0	3	1	2	0.0295191277
'871_at'	'SERPINH1'	-3	-2	-5	1	-2	-3	0.0295644576
'9702_at'	'CEP57'	6	1	0	-2	8	1	0.0296401152
'81849_at'	'ST6GALNAC5'	16	14	8	12	-6	16	0.0296444332
'863_at'	'CBFA2T3'	14	10	2	11	8	0	0.0298347138
'10586_at'	'MAB21L2'	8	0	6	-4	1	7	0.0300188055
'10845_at'	'CLPX'	4	0	0	3	7	0	0.0300385253
'22918_at'	'CD93'	1	0	-2	1	1	3	0.030185798
'10206_at'	'TRIM13'	2	-4	-1	-2	-3	6	0.0303675542
'55297_at'	'CCDC91'	6	13	10	-2	10	11	0.0304241532
'11019_at'	'LIAS'	2	-2	-2	-3	14	13	0.0305336207
'56986_at'	'DTWD1'	-4	17	11	-3	7	-3	0.0306927531
'6698_at'	'SPRR1A'	9	3	0	-2	1	9	0.0307472243
'9580_at'	'SOX13'	17	15	16	7	-4	14	0.030768154
'4889_at'	'NPY5R'	-4	-3	8	6	13	4	0.0308613224
'3911_at'	'LAMA5'	9	8	-2	6	4	-4	0.0308691676
'23214_at'	'XPO6'	12	12	9	8	-2	15	0.0309556467
'151050_at'	'C2orf67'	0	-3	15	17	15	17	0.0309561933
